t,et,yt
0,0,0
1,0.496714153,0.496714153
2,-0.138264301,0.507464098
3,0.647688538,1.203081893
4,1.523029856,2.949175865
5,-0.234153375,3.305769917
6,-0.234136957,3.355835403
7,1.579212816,5.035328598
8,0.767434729,6.336695399
9,-0.469474386,6.417810675
10,0.542560044,7.1498822
11,-0.463417693,6.962939409
12,-0.465729754,6.524069289
13,0.241962272,6.642428414
14,-1.913280245,4.727574963
15,-1.724917833,2.427729134
16,-0.562287529,1.003009457
17,-1.01283112,-0.695967211
18,0.314247333,-1.097256543
19,-0.908024076,-2.340328418
20,-1.412303701,-4.226068021
21,1.465648769,-3.468171904
22,-0.2257763,-3.678905165
23,0.067528205,-3.670084027
24,-1.424748186,-5.109797991
25,-0.544382725,-6.090584639
26,0.11092259,-6.40481922
27,-1.150993577,-7.777630323
28,0.375698018,-7.880320893
29,-0.60063869,-8.655283331
30,-0.29169375,-9.231762936
31,-0.601706612,-10.09184919
32,1.852278185,-8.575110769
33,-0.013497225,-8.234248398
34,-1.057710929,-9.083392738
35,0.822544912,-8.45302115
36,-1.22084365,-9.542405322
37,0.208863595,-9.620919134
38,-1.959670124,-11.69035662
39,-1.328186049,-13.67230413
40,0.196861236,-14.26615558
41,0.73846658,-13.94305825
42,0.171368281,-13.79937154
43,-0.115648282,-13.88021828
44,-0.301103696,-14.19513553
45,-1.47852199,-15.77227677
46,-0.719844208,-16.99484912
47,-0.460638771,-17.97307804
48,1.057122226,-17.36470153
49,0.34361829,-16.97319401
50,-1.763040155,-18.60441514
51,0.324083969,-18.7301518
52,-0.38508228,-19.28790126
53,-0.676922,-20.18394826
54,0.611676289,-19.90682357
55,1.030999522,-18.89305212
56,0.931280119,-17.66280899
57,-0.839217523,-18.04326467
58,-0.309212376,-18.32898519
59,0.331263431,-18.07639036
60,0.975545127,-17.04866737
61,-0.479174238,-17.20387135
62,-0.185658977,-17.33890044
63,-1.106334974,-18.47055518
64,-1.196206624,-20.01385415
65,0.812525822,-19.76844573
66,1.356240029,-18.50871839
67,-0.072010122,-18.23176412
68,1.003532898,-17.04045562
69,0.361636025,-16.26509437
70,-0.645119755,-16.55348818
71,0.361395606,-16.17159293
72,1.538036566,-14.5128379
73,-0.035826039,-14.01482189
74,1.564643656,-12.14062081
75,-2.619745104,-14.10523837
76,0.821902504,-13.67618287
77,0.087047068,-13.57827325
78,-0.29900735,-13.84464895
79,0.091760777,-13.82301139
80,-1.987568915,-15.825126
81,-0.219671888,-16.64979598
82,0.357112572,-16.72158383
83,1.477894045,-15.39389626
84,-0.518270218,-15.55892216
85,-0.808493603,-16.31095023
86,-0.501757044,-17.02137604
87,0.915402118,-16.38170229
88,0.32875111,-15.94376757
89,-0.529760204,-16.30939227
90,0.513267433,-15.8565716
91,0.097077549,-15.64178188
92,0.968644991,-14.57338632
93,-0.702053094,-14.92499557
94,-0.327662147,-15.25300735
95,-0.392108153,-15.74362392
96,-1.463514948,-17.38387636
97,0.296120277,-17.63285307
98,0.261055272,-17.6100199
99,0.005113457,-17.66952313
100,-0.234587133,-17.94134624
