t,T,BI rate,Inflasi,BBCA,,
1/1/2016,1,0.055,0.0445,-0.015151734,,
2/1/2016,2,0.055,0.0442,0.028223837,,
3/1/2016,3,0.055,0.0414,-0.013072103,,
4/1/2016,4,0.04,0.036,-0.018976207,,
5/1/2016,5,0.05,0.0333,0.004239982,,
6/1/2016,6,0.06,0.0345,0.024692634,,
7/1/2016,7,0.07,0.0321,0.081052396,,
8/1/2016,8,0.08,0.0279,0.040683554,,
9/1/2016,9,0.09,0.0307,0.042282853,,
10/1/2016,10,0.1,0.0331,-0.011209108,,
11/1/2016,11,0.11,0.0358,-0.082191966,,
12/1/2016,12,0.12,0.0302,0.08058052,,
1/1/2017,13,0.13,0.0349,-0.008080279,,
2/1/2017,14,0.14,0.0383,0.0097562,,
3/1/2017,15,0.15,0.0361,0.068777267,,
4/1/2017,16,0.16,0.0417,0.069999165,,
5/1/2017,17,0.17,0.0433,-0.026866193,,
6/1/2017,18,0.18,0.0437,0.056672357,,
7/1/2017,19,0.19,0.0388,0.029852844,,
8/1/2017,20,0.2,0.0382,0.013280536,,
9/1/2017,21,0.21,0.0372,0.068816994,,
10/1/2017,22,0.22,0.0358,0.029128174,,
11/1/2017,23,0.23,0.033,-0.026668351,,
12/1/2017,24,0.24,0.0361,0.077168746,,
1/1/2018,25,0.25,0.0325,0.036978945,,
2/1/2018,26,0.26,0.0318,0.019608537,,
3/1/2018,27,0.27,0.034,0.005379147,,
4/1/2018,28,0.28,0.0341,-0.052875504,,
5/1/2018,29,0.29,0.0323,0.034375276,,
6/1/2018,30,0.3,0.0312,-0.055475386,,
7/1/2018,31,0.31,0.0318,0.08049028,,
8/1/2018,32,0.32,0.032,0.063463797,,
9/1/2018,33,0.33,0.0288,-0.026559217,,
10/1/2018,34,0.34,0.0316,-0.020921252,,
11/1/2018,35,0.35,0.0323,0.096654695,,
12/1/2018,36,0.36,0.0313,-0.001921125,,
1/1/2019,37,0.37,0.0282,0.08360661,,
2/1/2019,38,0.38,0.0257,-0.021525521,,
3/1/2019,39,0.39,0.0248,-0.000907009,,
4/1/2019,40,0.4,0.0283,0.04263538,,
5/1/2019,41,0.41,0.0332,0.021200013,,
6/1/2019,42,0.42,0.0328,0.029625543,,
7/1/2019,43,0.43,0.0332,0.032009349,,
8/1/2019,44,0.44,0.0349,-0.014646339,,
9/1/2019,45,0.45,0.0339,-0.004929896,,
10/1/2019,46,0.46,0.0313,0.035602303,,
11/1/2019,47,0.47,0.03,-0.001591242,,
12/1/2019,48,0.48,0.0272,0.062496414,,
1/1/2020,49,0.49,0.0268,-0.027986332,,
2/1/2020,50,0.5,0.0298,-0.029759277,,
