t,et,yt
0,0,0
1,0.496714153,0.496714153
2,-0.138264301,0.7111169
3,0.647688538,1.636127751
4,1.523029856,3.982362982
5,-0.234153375,5.872159404
6,-0.234136957,7.787044524
7,1.579212816,11.54287206
8,0.767434729,15.96795323
9,-0.469474386,20.13583772
10,0.542560044,25.40391301
11,-0.463417693,30.57261012
12,-0.465729754,35.93147251
13,0.241962272,42.20790232
14,-1.913280245,47.1261062
15,-1.724917833,51.3851967
16,-0.562287529,56.02538407
17,-1.01283112,60.28544532
18,0.314247333,65.58960936
19,-0.908024076,70.42189153
20,-1.412303701,74.59750544
21,1.465648769,81.08002062
22,-0.2257763,87.54531639
23,0.067528205,94.79240282
24,-1.424748186,101.3191913
25,-0.544382725,108.3817003
26,0.11092259,116.4246976
27,-1.150993577,124.0877243
28,0.375698018,133.2380497
29,-0.60063869,142.5900596
30,-0.29169375,152.7657684
31,-0.601706612,163.4448495
32,1.852278185,177.2246289
33,-0.013497225,191.8132056
34,-1.057710929,206.8069782
35,0.822544912,224.4399863
36,-1.22084365,242.368688
37,0.208863595,262.6653766
38,-1.959670124,282.9694048
39,-1.328186049,304.5635508
40,0.196861236,328.9124286
41,0.73846658,356.3756022
42,0.171368281,386.5349216
43,-0.115648282,419.5431141
44,-0.301103696,455.5857167
45,-1.47852199,493.8443887
46,-0.719844208,535.6526402
47,-0.460638771,581.3970314
48,1.057122226,632.9111755
49,0.34361829,689.6032157
50,-1.763040155,750.0983343
51,0.324083969,817.4959607
52,-0.38508228,891.1510423
53,-0.676922,971.6102348
54,0.611676289,1060.930099
55,1.030999522,1160.029447
56,0.931280119,1269.66071
57,-0.839217523,1389.136497
58,-0.309212376,1520.502416
59,0.331263431,1665.428954
60,0.975545127,1825.724312
61,-0.479174238,2001.277368
62,-0.185658977,2194.343823
63,-1.106334974,2405.666287
64,-1.196206624,2637.25669
65,0.812525822,2893.177521
66,1.356240029,3175.802918
67,-0.072010122,3486.211973
68,1.003532898,3828.687069
69,0.361636025,4205.47025
70,-0.645119755,4619.178139
71,0.361395606,5074.811749
72,1.538036566,5577.438337
73,-0.035826039,6129.830348
74,1.564643656,6739.036951
75,-2.619745104,7406.075075
76,0.821902504,8141.424839
77,0.087047068,8950.150055
78,-0.29900735,9839.422671
79,0.091760777,10817.80401
80,-1.987568915,11892.00839
81,-0.219671888,13074.0098
82,0.357112572,14374.63437
83,1.477894045,15806.69216
84,-0.518270218,17380.99409
85,-0.808493603,19112.0732
86,-0.501757044,21016.00101
87,0.915402118,23111.38753
88,0.32875111,25416.36683
89,-0.529760204,27951.21567
90,0.513267433,30740.2216
91,0.097077549,33808.07122
92,0.968644991,37183.64532
93,-0.702053094,40895.78418
94,-0.327662147,44979.01989
95,-0.392108153,49470.28535
96,-1.463514948,54409.33148
97,0.296120277,59843.0174
98,0.261055272,65820.24412
99,0.005113457,72395.12032
100,-0.234587133,79627.24802
