No,Periode,Data Inflasi
1,Februari 2025,-0.09%
2,Januari 2025,0.76%
3,Desember 2024,1.57%
4,November 2024,1.55%
5,Oktober 2024,1.71%
6,September 2024,1.84%
7,Agustus 2024,2.12%
8,Juli 2024,2.13%
9,Juni 2024,2.51%
10,Mei 2024,2.84%
11,April 2024,3%
12,Maret 2024,3.05%
13,Februari 2024,2.75%
14,Januari 2024,2.57%
15,Desember 2023,2.61%
16,November 2023,2.86%
17,Oktober 2023,2.56%
18,September 2023,2.28%
19,Agustus 2023,3.27%
20,Juli 2023,3.08%
21,Juni 2023,3.52%
22,Mei 2023,4%
23,April 2023,4.33%
24,Maret 2023,4.97%
25,Februari 2023,5.47%
26,Januari 2023,5.28%
27,Desember 2022,5.51%
28,November 2022,5.42%
29,Oktober 2022,5.71%
30,September 2022,5.95%
31,Agustus 2022,4.69%
32,Juli 2022,4.94%
33,Juni 2022,4.35%
34,Mei 2022,3.55%
35,April 2022,3.47%
36,Maret 2022,2.64%
37,Februari 2022,2.06%
38,Januari 2022,2.18%
39,Desember 2021,1.87%
40,November 2021,1.75%
41,Oktober 2021,1.66%
42,September 2021,1.60%
43,Agustus 2021,1.59%
44,Juli 2021,1.52%
45,Juni 2021,1.33%
46,Mei 2021,1.68%
47,April 2021,1.42%
48,Maret 2021,1.37%
49,Februari 2021,1.38%
50,Januari 2021,1.55%
51,Desember 2020,1.68%
52,November 2020,1.59%
53,Oktober 2020,1.44%
54,September 2020,1.42%
55,Agustus 2020,1.32%
56,Juli 2020,1.54%
57,Juni 2020,1.96%
58,Mei 2020,2.19%
59,April 2020,2.67%
60,Maret 2020,2.96%
61,Februari 2020,2.98%
62,Januari 2020,2.68%
63,Desember 2019,2.72%
64,November 2019,3%
65,Oktober 2019,3.13%
66,September 2019,3.39%
67,Agustus 2019,3.49%
68,Juli 2019,3.32%
69,Juni 2019,3.28%
70,Mei 2019,3.32%
71,April 2019,2.83%
72,Maret 2019,2.48%
73,Februari 2019,2.57%
74,Januari 2019,2.82%
75,Desember 2018,3.13%
76,November 2018,3.23%
77,Oktober 2018,3.16%
78,September 2018,2.88%
79,Agustus 2018,3.20%
80,Juli 2018,3.18%
81,Juni 2018,3.12%
82,Mei 2018,3.23%
83,April 2018,3.41%
84,Maret 2018,3.40%
85,Februari 2018,3.18%
86,Januari 2018,3.25%
87,Desember 2017,3.61%
88,November 2017,3.30%
89,Oktober 2017,3.58%
90,September 2017,3.72%
91,Agustus 2017,3.82%
92,Juli 2017,3.88%
93,Juni 2017,4.37%
94,Mei 2017,4.33%
95,April 2017,4.17%
96,Maret 2017,3.61%
97,Februari 2017,3.83%
98,Januari 2017,3.49%
99,Desember 2016,3.02%
100,November 2016,3.58%
101,Oktober 2016,3.31%
102,September 2016,3.07%
103,Agustus 2016,2.79%
104,Juli 2016,3.21%
105,Juni 2016,3.45%
106,Mei 2016,3.33%
107,April 2016,3.60%
108,Maret 2016,4.45%
109,Februari 2016,4.42%
110,Januari 2016,4.14%
111,Desember 2015,3.35%
112,November 2015,4.89%
113,Oktober 2015,6.25%
114,September 2015,6.83%
115,Agustus 2015,7.18%
116,Juli 2015,7.26%
117,Juni 2015,7.26%
118,Mei 2015,7.15%
119,April 2015,6.79%
120,Maret 2015,6.38%
121,Februari 2015,6.29%
